timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1641445064.264,-230.957,-82.520,-63.965,-226.074,0.000,0
1641445064.268,-55.176,-26.855,29.785,-65.918,0.000,0
1641445064.272,93.262,11.719,88.867,92.773,0.000,0
1641445064.276,-102.539,-46.875,28.809,-84.473,0.000,0
1641445064.280,-245.605,-89.844,-24.902,-241.699,0.000,0
1641445064.278,-110.840,-50.293,1.953,-126.465,0.000,0
1641445064.282,88.867,8.789,72.754,85.938,0.000,0
1641445064.286,-45.898,-19.043,42.480,-16.602,0.000,0
1641445064.290,-250.000,-71.777,-23.926,-222.656,0.000,0
1641445064.294,-171.387,-61.035,-10.254,-177.246,0.000,0
1641445064.298,55.176,-9.277,40.039,39.551,0.000,0
1641445064.301,24.902,-19.531,41.016,37.109,0.000,0
1641445064.305,-203.613,-65.430,-11.719,-194.824,0.000,0
1641445064.309,-206.055,-64.941,-20.996,-229.004,0.000,0
1641445064.313,4.395,-24.414,29.297,-17.090,0.000,0
1641445064.317,74.219,5.859,66.895,77.148,0.000,0
1641445064.321,-154.297,-43.457,10.254,-148.926,0.000,0
1641445064.319,-228.027,-78.613,-25.391,-236.816,0.000,0
1641445064.323,-62.988,-45.410,14.648,-75.684,0.000,0
1641445064.327,88.379,5.859,65.430,86.426,0.000,0
1641445064.331,-93.262,-37.109,15.625,-84.961,0.000,0
1641445064.335,-246.582,-78.613,-31.250,-249.512,0.000,0
1641445064.339,-126.953,-57.617,-6.836,-133.789,0.000,0
1641445064.343,77.637,1.953,60.547,80.566,0.000,0
1641445064.347,-17.090,1.465,46.875,-18.555,0.000,0
1641445064.351,-220.215,-56.641,-26.367,-220.215,0.000,0
1641445064.354,-171.875,-64.941,-29.785,-181.152,0.000,0
1641445064.358,43.945,-6.348,36.133,26.855,0.000,0
1641445064.362,34.180,10.742,55.664,38.086,0.000,0
1641445064.362,-195.801,-53.711,-3.418,-186.035,0.000,0
1641445064.366,-217.285,-74.707,-14.160,-224.609,0.000,0
1641445064.370,-33.691,-16.113,36.621,-38.574,0.000,0
1641445064.374,57.617,12.695,73.242,70.312,0.000,0
1641445064.378,-142.578,-54.199,8.789,-144.043,0.000,0
1641445064.381,-234.863,-85.938,-34.180,-251.465,0.000,0
1641445064.385,-78.125,-48.340,11.230,-99.609,0.000,0
1641445064.389,88.379,3.418,68.359,72.266,0.000,0
1641445064.393,-84.473,-41.016,24.902,-76.172,0.000,0
1641445064.397,-251.465,-91.309,-39.062,-251.465,0.000,0
1641445064.401,-152.832,-52.246,-18.066,-171.387,0.000,0
1641445064.405,59.570,18.555,64.453,47.852,0.000,0
1641445064.405,-10.254,-5.371,51.758,-15.137,0.000,0
1641445064.409,-222.168,-74.219,-21.484,-237.793,0.000,0
1641445064.412,-203.613,-69.336,-18.555,-218.262,0.000,0
1641445064.416,9.277,-20.020,42.480,6.348,0.000,0
1641445064.420,30.273,-14.648,57.129,42.480,0.000,0
1641445064.424,-202.637,-72.754,-6.836,-198.242,0.000,0
1641445064.428,-234.863,-81.543,-26.855,-245.605,0.000,0
1641445064.432,-37.598,-27.832,27.344,-58.594,0.000,0
1641445064.436,89.844,0.977,73.242,79.590,0.000,0
1641445064.440,-119.629,-51.758,15.137,-113.770,0.000,0
1641445064.444,-242.676,-78.125,-27.344,-250.000,0.000,0
1641445064.448,-95.215,-52.734,9.277,-117.676,0.000,0
1641445064.448,79.102,1.465,75.684,69.824,0.000,0
1641445064.452,-65.430,-24.414,33.691,-65.918,0.000,0
1641445064.455,-243.652,-76.172,-33.203,-252.441,0.000,0
1641445064.459,-147.949,-50.293,-4.395,-161.133,0.000,0
1641445064.463,38.086,-7.324,56.641,29.785,0.000,0
1641445064.467,-38.086,-27.344,38.086,-30.273,0.000,0
1641445064.471,-214.844,-73.730,-20.020,-212.402,0.000,0
1641445064.475,-203.125,-84.961,-19.043,-210.938,0.000,0
1641445064.479,-0.488,-36.621,38.574,0.488,0.000,0
1641445064.483,42.480,2.441,72.754,53.223,0.000,0
1641445064.487,-184.082,-50.781,4.395,-183.105,0.000,0
1641445064.490,-232.910,-83.496,-30.762,-233.398,0.000,0
1641445064.491,-43.457,-30.273,26.367,-61.523,0.000,0
1641445064.495,87.891,20.508,80.566,80.078,0.000,0
1641445064.499,-115.234,-32.227,20.996,-100.098,0.000,0
1641445064.502,-245.117,-80.078,-36.133,-241.699,0.000,0
1641445064.506,-106.934,-49.805,2.930,-120.605,0.000,0
1641445064.510,84.473,9.766,78.125,75.684,0.000,0
1641445064.514,-40.527,-12.695,41.504,-31.250,0.000,0
1641445064.518,-236.816,-84.961,-42.969,-226.074,0.000,0
1641445064.522,-172.363,-78.613,-19.531,-178.711,0.000,0
1641445064.526,51.758,5.859,65.918,32.715,0.000,0
1641445064.530,16.113,5.371,57.617,21.973,0.000,0
1641445064.533,-214.844,-65.430,-12.695,-206.055,0.000,0
1641445064.534,-214.355,-71.777,-15.137,-213.867,0.000,0
1641445064.538,-14.648,-20.996,36.621,-16.602,0.000,0
1641445064.542,59.570,4.395,67.383,66.895,0.000,0
1641445064.546,-157.227,-49.316,4.883,-150.391,0.000,0
1641445064.549,-240.234,-74.707,-28.809,-242.676,0.000,0
1641445064.553,-66.895,-33.691,16.113,-71.289,0.000,0
